run#,time,req/s,cpu,mem
319939,1376.49,12.35,NaN,NaN
319940,1376.48,12.35,NaN,NaN
319941,1415.63,12.01,NaN,NaN
319942,1360.70,12.49,NaN,NaN
319943,1326.97,12.81,NaN,NaN
319944,1361.90,12.48,NaN,NaN
319945,1373.69,12.38,NaN,NaN
319946,1344.45,12.64,NaN,NaN
319947,1334.11,12.74,NaN,NaN
319948,1338.47,12.70,NaN,NaN
319949,1426.48,11.92,NaN,NaN
319950,1325.44,12.83,NaN,NaN
319951,1347.91,12.61,NaN,NaN
319952,1370.81,12.40,NaN,NaN
319953,1360.07,12.50,NaN,NaN
319954,1380.55,12.31,NaN,NaN
319955,1331.81,12.76,NaN,NaN
319956,1378.25,12.33,NaN,NaN
319957,1357.83,12.52,NaN,NaN
319958,1344.81,12.64,NaN,NaN
319959,1408.62,12.07,NaN,NaN
319960,1321.74,12.86,NaN,NaN
319961,1310.53,12.97,NaN,NaN
319962,1309.86,12.98,NaN,NaN
319963,1373.07,12.38,NaN,NaN
319964,1430.46,11.88,NaN,NaN
319965,1319.74,12.88,NaN,NaN
319966,1321.91,12.86,NaN,NaN
319967,1284.12,13.24,NaN,NaN
319968,1346.20,12.63,NaN,NaN
319969,1541.01,11.03,NaN,NaN
319970,1424.50,11.93,NaN,NaN
319971,1343.28,12.66,NaN,NaN
319972,1474.84,11.53,NaN,NaN
319973,1344.67,12.64,NaN,NaN
319974,1368.64,12.42,NaN,NaN
319975,1375.04,12.36,NaN,NaN
319976,1471.48,11.55,NaN,NaN
319977,1424.09,11.94,NaN,NaN
319978,1457.40,11.66,NaN,NaN
319979,1385.36,12.27,NaN,NaN
319980,1420.67,11.97,NaN,NaN
319981,1374.31,12.37,NaN,NaN
319982,1430.25,11.89,NaN,NaN
319983,1435.63,11.84,NaN,NaN
319984,1439.63,11.81,NaN,NaN
319985,1444.13,11.77,NaN,NaN
319986,1328.47,12.80,NaN,NaN
319987,1320.58,12.87,NaN,NaN
319988,1349.03,12.60,NaN,NaN
319989,1387.37,12.25,NaN,NaN
319990,1310.32,12.97,NaN,NaN
319991,1324.23,12.84,NaN,NaN
319992,1428.46,11.90,NaN,NaN
319993,1445.52,11.76,NaN,NaN
319994,1552.09,10.95,NaN,NaN
319995,1728.84,9.83,NaN,NaN
319996,1629.76,10.43,NaN,NaN
319997,1397.39,12.17,NaN,NaN
319998,1310.49,12.97,NaN,NaN
319999,1391.54,12.22,NaN,NaN
320000,1304.11,13.04,NaN,NaN
320001,1420.83,11.96,NaN,NaN
320002,1405.13,12.10,NaN,NaN
320003,1320.32,12.88,NaN,NaN
320004,1368.26,12.42,NaN,NaN
320005,1314.46,12.93,NaN,NaN
320006,1373.61,12.38,NaN,NaN
320007,1436.54,11.83,NaN,NaN
320008,1316.24,12.92,NaN,NaN
320009,1331.38,12.77,NaN,NaN
320010,1360.17,12.50,NaN,NaN
320011,1357.25,12.53,NaN,NaN
320012,1380.52,12.31,NaN,NaN
320013,1378.00,12.34,NaN,NaN
320014,1353.32,12.56,NaN,NaN
320015,1355.64,12.54,NaN,NaN
320016,1395.13,12.19,NaN,NaN
320017,1434.13,11.85,NaN,NaN
320018,1397.86,12.16,NaN,NaN
320019,1393.73,12.20,NaN,NaN
320020,1367.92,12.43,NaN,NaN
320021,1429.98,11.89,NaN,NaN
320022,1332.26,12.76,NaN,NaN
320023,1397.66,12.16,NaN,NaN
320024,1357.40,12.52,NaN,NaN
320025,1308.35,12.99,NaN,NaN
320026,1380.88,12.31,NaN,NaN
320027,1341.95,12.67,NaN,NaN
320028,1479.78,11.49,NaN,NaN
320029,1381.05,12.31,NaN,NaN
320030,1299.45,13.08,NaN,NaN
320031,1356.05,12.54,NaN,NaN
320032,1378.50,12.33,NaN,NaN
320033,1354.77,12.55,NaN,NaN
320034,1375.72,12.36,NaN,NaN
320035,1400.29,12.14,NaN,NaN
320036,1415.72,12.01,NaN,NaN
320037,1311.87,12.96,NaN,NaN
320038,1457.98,11.66,NaN,NaN
320039,1385.92,12.27,NaN,NaN
320040,1444.26,11.77,NaN,NaN
320041,1581.07,10.75,NaN,NaN
320042,1326.76,12.81,NaN,NaN
320043,1347.16,12.62,NaN,NaN
320044,1301.01,13.07,NaN,NaN
320045,1358.54,12.51,NaN,NaN
320046,1309.30,12.98,NaN,NaN
320047,1435.92,11.84,NaN,NaN
320048,1444.25,11.77,NaN,NaN
320049,1374.80,12.37,NaN,NaN
320050,1367.64,12.43,NaN,NaN
320051,1331.55,12.77,NaN,NaN
320052,1326.58,12.81,NaN,NaN
320053,1353.15,12.56,NaN,NaN
320054,1346.97,12.62,NaN,NaN
320055,1346.80,12.62,NaN,NaN
320056,1466.65,11.59,NaN,NaN
320057,1343.41,12.65,NaN,NaN
320058,1343.51,12.65,NaN,NaN
320059,1318.18,12.90,NaN,NaN
